[2026-03-17 00:49:32] [supervisor] started prefix=night2
[2026-03-17 02:27:35] [supervisor] queue running
[2026-03-17 02:28:35] [supervisor] queue running
[2026-03-17 02:29:35] [supervisor] queue running
[2026-03-17 02:30:35] [supervisor] queue running
[2026-03-17 02:31:35] [supervisor] queue running
[2026-03-17 02:32:35] [supervisor] queue running
[2026-03-17 02:33:35] [supervisor] queue running
[2026-03-17 02:34:35] [supervisor] queue running
[2026-03-17 02:35:35] [supervisor] queue running
[2026-03-17 02:36:35] [supervisor] queue running
[2026-03-17 02:37:35] [supervisor] queue running
[2026-03-17 02:38:35] [supervisor] queue running
[2026-03-17 02:39:35] [supervisor] queue running
[2026-03-17 02:40:35] [supervisor] queue running
[2026-03-17 02:41:35] [supervisor] queue running
[2026-03-17 02:42:35] [supervisor] queue running
[2026-03-17 02:43:35] [supervisor] queue running
[2026-03-17 02:44:35] [supervisor] queue running
[2026-03-17 02:45:35] [supervisor] queue running
[2026-03-17 02:46:35] [supervisor] queue running
[2026-03-17 02:47:35] [supervisor] queue running
[2026-03-17 02:48:35] [supervisor] queue running
[2026-03-17 02:49:35] [supervisor] queue running
[2026-03-17 02:50:35] [supervisor] queue running
[2026-03-17 02:51:35] [supervisor] queue running
[2026-03-17 02:52:35] [supervisor] queue running
[2026-03-17 02:53:35] [supervisor] queue running
[2026-03-17 02:54:35] [supervisor] queue running
[2026-03-17 02:55:35] [supervisor] queue running
[2026-03-17 02:56:35] [supervisor] queue running
[2026-03-17 02:57:35] [supervisor] queue running
[2026-03-17 02:58:35] [supervisor] queue running
[2026-03-17 02:59:35] [supervisor] queue running
[2026-03-17 03:00:35] [supervisor] queue running
[2026-03-17 03:01:35] [supervisor] queue running
[2026-03-17 03:02:35] [supervisor] queue running
[2026-03-17 03:03:35] [supervisor] queue running
[2026-03-17 03:04:35] [supervisor] queue running
[2026-03-17 03:05:35] [supervisor] queue running
[2026-03-17 03:06:35] [supervisor] queue running
[2026-03-17 03:07:36] [supervisor] queue running
[2026-03-17 03:08:36] [supervisor] queue running
[2026-03-17 03:09:36] [supervisor] queue running
[2026-03-17 03:10:36] [supervisor] queue running
[2026-03-17 03:11:36] [supervisor] queue running
[2026-03-17 03:12:36] [supervisor] queue running
[2026-03-17 03:13:36] [supervisor] queue running
[2026-03-17 03:14:36] [supervisor] queue running
[2026-03-17 03:15:36] [supervisor] queue running
[2026-03-17 03:16:36] [supervisor] queue running
[2026-03-17 03:17:36] [supervisor] queue running
[2026-03-17 03:18:36] [supervisor] queue running
[2026-03-17 03:19:36] [supervisor] queue running
[2026-03-17 03:20:36] [supervisor] queue running
[2026-03-17 03:21:36] [supervisor] queue running
[2026-03-17 03:22:36] [supervisor] queue running
[2026-03-17 03:23:36] [supervisor] queue running
[2026-03-17 03:24:36] [supervisor] queue running
[2026-03-17 03:25:36] [supervisor] queue running
[2026-03-17 03:26:36] [supervisor] queue running
[2026-03-17 03:27:36] [supervisor] queue running
[2026-03-17 03:28:36] [supervisor] queue running
[2026-03-17 03:29:36] [supervisor] queue running
[2026-03-17 03:30:36] [supervisor] queue running
[2026-03-17 03:31:36] [supervisor] queue running
[2026-03-17 03:32:36] [supervisor] queue running
[2026-03-17 03:33:36] [supervisor] queue running
[2026-03-17 03:34:36] [supervisor] queue running
[2026-03-17 03:35:36] [supervisor] queue running
[2026-03-17 03:36:36] [supervisor] queue running
[2026-03-17 03:37:36] [supervisor] queue running
[2026-03-17 03:38:36] [supervisor] queue running
[2026-03-17 03:39:36] [supervisor] queue running
[2026-03-17 03:40:36] [supervisor] queue running
[2026-03-17 03:41:36] [supervisor] queue running
[2026-03-17 03:42:36] [supervisor] queue running
[2026-03-17 03:43:36] [supervisor] queue running
[2026-03-17 03:44:36] [supervisor] queue running
[2026-03-17 03:45:36] [supervisor] queue running
[2026-03-17 03:46:36] [supervisor] queue running
[2026-03-17 03:47:36] [supervisor] queue running
[2026-03-17 03:48:36] [supervisor] queue running
[2026-03-17 03:49:37] [supervisor] queue running
[2026-03-17 03:50:37] [supervisor] queue running
[2026-03-17 03:51:37] [supervisor] queue running
[2026-03-17 03:52:37] [supervisor] queue running
[2026-03-17 03:53:37] [supervisor] queue running
[2026-03-17 03:54:37] [supervisor] queue running
[2026-03-17 03:55:37] [supervisor] queue running
[2026-03-17 03:56:37] [supervisor] queue running
[2026-03-17 03:57:37] [supervisor] queue running
[2026-03-17 03:58:37] [supervisor] queue running
[2026-03-17 03:59:37] [supervisor] queue running
[2026-03-17 04:00:37] [supervisor] queue running
[2026-03-17 04:01:37] [supervisor] queue running
[2026-03-17 04:02:37] [supervisor] queue running
[2026-03-17 04:03:37] [supervisor] queue running
[2026-03-17 04:04:37] [supervisor] queue running
[2026-03-17 04:05:37] [supervisor] queue running
[2026-03-17 04:06:37] [supervisor] queue running
[2026-03-17 04:07:37] [supervisor] queue running
[2026-03-17 04:08:37] [supervisor] queue running
[2026-03-17 04:09:37] [supervisor] queue running
[2026-03-17 04:10:37] [supervisor] queue running
[2026-03-17 04:11:37] [supervisor] queue running
[2026-03-17 04:12:37] [supervisor] queue running
[2026-03-17 04:13:37] [supervisor] queue running
[2026-03-17 04:14:37] [supervisor] queue running
[2026-03-17 04:15:37] [supervisor] queue running
[2026-03-17 04:16:37] [supervisor] queue running
[2026-03-17 04:17:37] [supervisor] queue running
[2026-03-17 04:18:37] [supervisor] queue running
[2026-03-17 04:19:37] [supervisor] queue running
[2026-03-17 04:20:37] [supervisor] queue running
[2026-03-17 04:21:37] [supervisor] queue running
[2026-03-17 04:22:37] [supervisor] queue running
[2026-03-17 04:23:37] [supervisor] queue running
[2026-03-17 04:24:37] [supervisor] queue running
[2026-03-17 04:25:37] [supervisor] queue running
[2026-03-17 04:26:37] [supervisor] queue running
[2026-03-17 04:27:37] [supervisor] queue running
[2026-03-17 04:28:37] [supervisor] queue running
[2026-03-17 04:29:37] [supervisor] queue running
[2026-03-17 04:30:37] [supervisor] queue running
[2026-03-17 04:31:38] [supervisor] queue running
[2026-03-17 04:32:38] [supervisor] queue running
[2026-03-17 04:33:38] [supervisor] queue running
[2026-03-17 04:34:38] [supervisor] queue running
[2026-03-17 04:35:38] [supervisor] queue running
[2026-03-17 04:36:38] [supervisor] queue running
[2026-03-17 04:37:38] [supervisor] queue running
[2026-03-17 04:38:38] [supervisor] queue running
[2026-03-17 04:39:38] [supervisor] queue running
[2026-03-17 04:40:38] [supervisor] queue running
[2026-03-17 04:41:38] [supervisor] queue running
[2026-03-17 04:42:38] [supervisor] queue running
[2026-03-17 04:43:38] [supervisor] queue running
[2026-03-17 04:44:38] [supervisor] queue running
[2026-03-17 04:45:38] [supervisor] queue running
[2026-03-17 04:46:38] [supervisor] queue running
[2026-03-17 04:47:38] [supervisor] queue running
[2026-03-17 04:48:38] [supervisor] queue running
[2026-03-17 04:49:38] [supervisor] queue running
[2026-03-17 04:50:38] [supervisor] queue running
[2026-03-17 04:51:38] [supervisor] queue running
[2026-03-17 04:52:38] [supervisor] queue running
[2026-03-17 04:53:38] [supervisor] queue running
[2026-03-17 04:54:38] [supervisor] queue running
[2026-03-17 04:55:38] [supervisor] queue running
[2026-03-17 04:56:38] [supervisor] queue running
[2026-03-17 04:57:38] [supervisor] queue running
[2026-03-17 04:58:38] [supervisor] queue running
[2026-03-17 04:59:38] [supervisor] queue running
[2026-03-17 05:00:38] [supervisor] queue running
[2026-03-17 05:01:38] [supervisor] queue running
[2026-03-17 05:02:38] [supervisor] queue running
[2026-03-17 05:03:38] [supervisor] queue running
[2026-03-17 05:04:38] [supervisor] queue running
[2026-03-17 05:05:38] [supervisor] queue running
[2026-03-17 05:06:38] [supervisor] queue running
[2026-03-17 05:07:38] [supervisor] queue running
[2026-03-17 05:08:38] [supervisor] queue running
[2026-03-17 05:09:38] [supervisor] queue running
[2026-03-17 05:10:38] [supervisor] queue running
[2026-03-17 05:11:38] [supervisor] queue running
[2026-03-17 05:12:39] [supervisor] queue running
[2026-03-17 05:13:39] [supervisor] queue running
[2026-03-17 05:14:39] [supervisor] queue running
[2026-03-17 05:15:39] [supervisor] queue running
[2026-03-17 05:16:39] [supervisor] queue running
[2026-03-17 05:17:39] [supervisor] queue running
[2026-03-17 05:18:39] [supervisor] queue running
[2026-03-17 05:19:39] [supervisor] queue running
[2026-03-17 05:20:39] [supervisor] queue running
[2026-03-17 05:21:39] [supervisor] queue running
[2026-03-17 05:22:39] [supervisor] queue running
[2026-03-17 05:23:39] [supervisor] queue running
[2026-03-17 05:24:39] [supervisor] queue running
[2026-03-17 05:25:39] [supervisor] queue running
[2026-03-17 05:26:39] [supervisor] queue running
[2026-03-17 05:27:39] [supervisor] queue running
[2026-03-17 05:28:39] [supervisor] queue running
[2026-03-17 05:29:39] [supervisor] queue running
[2026-03-17 05:30:39] [supervisor] queue running
[2026-03-17 05:31:39] [supervisor] queue running
[2026-03-17 05:32:39] [supervisor] queue running
[2026-03-17 05:33:39] [supervisor] queue running
[2026-03-17 05:34:39] [supervisor] queue running
[2026-03-17 05:35:39] [supervisor] queue running
[2026-03-17 05:36:39] [supervisor] queue running
[2026-03-17 05:37:39] [supervisor] queue running
[2026-03-17 05:38:39] [supervisor] queue running
[2026-03-17 05:39:39] [supervisor] queue running
[2026-03-17 05:40:39] [supervisor] queue running
[2026-03-17 05:41:39] [supervisor] queue running
[2026-03-17 05:42:39] [supervisor] queue running
[2026-03-17 05:43:39] [supervisor] queue running
[2026-03-17 05:44:39] [supervisor] queue running
[2026-03-17 05:45:39] [supervisor] queue running
[2026-03-17 05:46:39] [supervisor] queue running
[2026-03-17 05:47:39] [supervisor] queue running
[2026-03-17 05:48:39] [supervisor] queue running
[2026-03-17 05:49:39] [supervisor] queue running
[2026-03-17 05:50:39] [supervisor] queue running
[2026-03-17 05:51:40] [supervisor] queue running
[2026-03-17 05:52:40] [supervisor] queue running
[2026-03-17 05:53:40] [supervisor] queue running
[2026-03-17 05:54:40] [supervisor] queue running
[2026-03-17 05:55:40] [supervisor] queue running
[2026-03-17 05:56:40] [supervisor] queue running
[2026-03-17 05:57:40] [supervisor] queue running
[2026-03-17 05:58:40] [supervisor] queue running
[2026-03-17 05:59:40] [supervisor] queue running
[2026-03-17 06:00:40] [supervisor] queue running
[2026-03-17 06:01:40] [supervisor] queue running
[2026-03-17 06:02:40] [supervisor] queue running
[2026-03-17 06:03:40] [supervisor] queue running
[2026-03-17 06:04:40] [supervisor] queue running
[2026-03-17 06:05:40] [supervisor] queue running
[2026-03-17 06:06:40] [supervisor] queue running
[2026-03-17 06:07:40] [supervisor] queue running
[2026-03-17 06:08:40] [supervisor] queue running
[2026-03-17 06:09:40] [supervisor] queue running
[2026-03-17 06:10:40] [supervisor] queue running
[2026-03-17 06:11:40] [supervisor] queue running
[2026-03-17 06:12:40] [supervisor] queue running
[2026-03-17 06:13:40] [supervisor] queue running
[2026-03-17 06:14:40] [supervisor] queue running
[2026-03-17 06:15:40] [supervisor] queue running
[2026-03-17 06:16:40] [supervisor] queue running
[2026-03-17 06:17:40] [supervisor] queue running
[2026-03-17 06:18:40] [supervisor] queue running
[2026-03-17 06:19:40] [supervisor] queue completed successfully
